feed_name,city,prov,neighborhoods,wait_gap_wk_med,wait_gap_wk_ci_low,wait_gap_wk_ci_high,wait_gap_wk_p,wait_gap_we_med,wait_gap_we_ci_low,wait_gap_we_ci_high,wait_gap_we_p,dens_gap_wk_med,dens_gap_wk_ci_low,dens_gap_wk_ci_high,dens_gap_wk_p,dens_gap_we_med,dens_gap_we_ci_low,dens_gap_we_ci_high,dens_gap_we_p
go_transit,Greater Toronto and Hamilton Area (ON),ON,335,0.18968983914636084,-8.261490090331627,12.598569214742732,0.8774118191041849,-12.225000000000001,-16.91157106782107,0.06920410431958678,0.023716368371487728,10.102646151094307,1.7123038148562457,20.38010231415757,0.015386174939282633,4.610930656156485,-0.37141935432508727,14.832229230252409,0.07796773375210085
grand_river_transport,Kitchener-Waterloo-Cambridge (ON),ON,113,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
guelph_transit,Guelph (ON),ON,145,-1.8939389278536556,-5.800798362833425,0.0867824061903022,0.04142676091911426,-0.3483483139638146,-2.465687665998928,0.5976039779627181,0.2856161359044409,183.3020251627265,93.74355526377511,319.071211462959,2.0642368763290337e-05,160.96670944711371,71.37003597280459,178.2048616208052,6.340225765093669e-05
kingston_transit,Kingston Transit (ON),ON,175,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
lethbridge_transit,Lethbridge Transit (AB),AB,103,-2.4403488236040687,-4.67003054511278,3.0079888864325928,0.20391803493877536,,,,,159.57903370412785,37.056184737236684,261.9064499345003,0.020649731723361393,82.32699745518218,13.248647903542937,154.44971719996997,0.03037629164354097
london_transit_commission,London Transit Commission (ON),ON,431,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
miway,Mississauga (ON),ON,200,-2.2850794181261094,-6.636580871719841,0.08484723784436933,0.060193341964266955,-2.355154788938151,-4.813967337879388,1.85930382855415,0.23530331770734358,100.09544123894297,21.985735563252785,154.47493919226895,0.011303634076397454,35.973375130414695,-4.222043943647976,80.75374363522572,0.03849423152970332
oakville_transit,Oakville (ON),ON,182,-1.4806867598329205,-4.82180877255046,2.1579326923076874,0.06309353133814348,4.194286906930341,-2.239871267649505,9.490740740740744,0.6748319219960327,126.97898500762572,14.392206641981037,197.94876824694038,0.0017177496274050287,56.89170647850179,6.083210991724669,143.63061218458319,0.0035039582252184634
oc_transpo,Ottawa (ON),ON,214,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
red_deer_transit,Red Deer Transit (AB),AB,133,-0.7628223703274397,-2.5884022761435608,0.6317733990147794,0.07051105799731468,-1.0177411316669591,-4.844536137471036,0.25899947753395836,0.4706584043379335,173.95410815613667,119.33885110520009,312.75127916763137,1.973346325187124e-06,144.72805708390405,84.59480180090705,218.07795470248803,6.655781107124177e-06
